,s,r,n,sol,file,datetime,experiment,seed
40,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:54,hashing_experiment.py,10
41,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:55,hashing_experiment.py,10
42,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:55,hashing_experiment.py,10
43,1,6,965,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:55,hashing_experiment.py,10
44,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:55,hashing_experiment.py,10
45,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:56,hashing_experiment.py,10
46,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:56,hashing_experiment.py,10
47,1,6,965,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:56,hashing_experiment.py,10
48,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:56,hashing_experiment.py,10
49,1,6,965,11520,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:57,hashing_experiment.py,10
50,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:57,hashing_experiment.py,10
51,1,6,965,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:57,hashing_experiment.py,10
52,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:57,hashing_experiment.py,10
53,1,6,965,6912,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:58,hashing_experiment.py,10
54,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:58,hashing_experiment.py,10
55,1,6,965,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:59,hashing_experiment.py,10
56,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:59,hashing_experiment.py,10
57,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:59,hashing_experiment.py,10
58,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:59,hashing_experiment.py,10
59,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:21:59,hashing_experiment.py,10
60,1,6,965,1104,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:00,hashing_experiment.py,10
61,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:00,hashing_experiment.py,10
62,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:00,hashing_experiment.py,10
63,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:00,hashing_experiment.py,10
64,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:01,hashing_experiment.py,10
65,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:01,hashing_experiment.py,10
66,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:02,hashing_experiment.py,10
67,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:02,hashing_experiment.py,10
68,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:02,hashing_experiment.py,10
69,1,6,965,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 17:22:02,hashing_experiment.py,10
