s,r,n,sol,file,datetime,experiment,seed
1,1,220,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,17/06/2020 14:49:10,hashing_experiment.py,10
1,1,220,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,17/06/2020 14:49:11,hashing_experiment.py,10
1,1,220,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,17/06/2020 14:49:13,hashing_experiment.py,10
1,1,220,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,17/06/2020 14:49:14,hashing_experiment.py,10
1,1,220,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,17/06/2020 14:49:15,hashing_experiment.py,10
1,1,220,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,17/06/2020 14:49:16,hashing_experiment.py,10
1,1,220,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,17/06/2020 14:49:18,hashing_experiment.py,10
1,1,220,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,17/06/2020 14:49:19,hashing_experiment.py,10
1,1,220,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,17/06/2020 14:49:19,hashing_experiment.py,10
1,1,220,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,17/06/2020 14:49:20,hashing_experiment.py,10
1,1,220,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,17/06/2020 14:49:21,hashing_experiment.py,10
1,1,220,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,17/06/2020 14:49:22,hashing_experiment.py,10
1,1,220,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,17/06/2020 14:49:23,hashing_experiment.py,10
1,1,220,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,17/06/2020 14:49:23,hashing_experiment.py,10
1,1,220,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,17/06/2020 14:49:25,hashing_experiment.py,10
1,1,220,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,17/06/2020 14:49:25,hashing_experiment.py,10
