s,r,n,sol,file,datetime,experiment,seed
1,5,220,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 12:31:59,hashing_experiment.py,10
1,5,220,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 12:32:00,hashing_experiment.py,10
1,5,220,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 12:32:00,hashing_experiment.py,10
1,5,220,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 12:32:00,hashing_experiment.py,10
1,5,220,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 12:32:00,hashing_experiment.py,10
1,5,220,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 12:32:00,hashing_experiment.py,10
1,5,220,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 12:32:00,hashing_experiment.py,10
1,5,220,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 12:32:01,hashing_experiment.py,10
1,5,220,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 12:32:01,hashing_experiment.py,10
1,5,220,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 12:32:01,hashing_experiment.py,10
1,5,220,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 12:32:01,hashing_experiment.py,10
1,5,220,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 12:32:02,hashing_experiment.py,10
1,5,220,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 12:32:02,hashing_experiment.py,10
1,5,220,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 12:32:02,hashing_experiment.py,10
1,5,220,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 12:32:02,hashing_experiment.py,10
1,5,220,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 12:32:02,hashing_experiment.py,10
1,5,220,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 12:32:02,hashing_experiment.py,10
1,5,220,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 12:32:02,hashing_experiment.py,10
1,5,220,0,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 12:32:02,hashing_experiment.py,10
1,5,220,16032,generated-input-bin_search/cnf-gen-L220-W3-C965-I6.cnf,18/06/2020 12:32:03,hashing_experiment.py,10
