s,mean,std,count
1,13242.72,5915.34,743
2,11996.62,6660.05,872
3,10625.69,7167.07,944
4,10715.54,7022.59,965
5,9855.15,7000.09,983
6,9692.24,6901.75,995
7,9113.67,6870.57,998
8,9000.50,6748.58,999
9,8813.17,6529.79,1000
10,8752.24,6447.84,1000
11,8579.10,6217.19,1000
12,8341.52,6208.18,1000
13,7926.64,5970.82,1000
14,7585.33,5863.41,1000
15,8034.05,5643.45,1000
16,7813.30,5738.10,1000
17,8086.24,5590.23,1000
18,7800.94,5368.73,1000
