m_upper: 1024, m_lower 896, m: 960, i: 25, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 26, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 27, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 28, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 29, last_sol: 16800
m_upper: 1024, m_lower 896, m: 960, i: 30, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 31, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 32, last_sol: 36864
m_upper: 1024, m_lower 896, m: 960, i: 33, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 34, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 35, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 36, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 37, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 38, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 39, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 40, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 41, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 42, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 43, last_sol: 207978112
m_upper: 1024, m_lower 896, m: 960, i: 44, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 45, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 46, last_sol: 191232
m_upper: 1024, m_lower 896, m: 960, i: 47, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 48, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 49, last_sol: 9600
m_upper: 1024, m_lower 896, m: 960, i: 50, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 51, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 52, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 53, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 54, last_sol: 1693733400
m_upper: 1024, m_lower 896, m: 960, i: 55, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 56, last_sol: 0
m_upper: 1024, m_lower 896, m: 960, i: 57, last_sol: 0
